,identificador,ssoo,avg_tiempo_pag1,vistas_pag1,vistas_unicas_pag1,avg_tiempo_pag2,vistas_pag2,vistas_unicas_pag2,avg_tiempo_pag3,vistas_pag3,vistas_unicas_pag3,sesiones,vistas,vistas_unicas,duracion_media_sesion,vistas_user_error,vistas_process_error,avg_tiempo_proceso,avg_tiempo_no_proceso,0,1,Predict,Y
3258,47883u,1,18.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,19,339,104,389.421052632,0.0,0.0,18.0,371.421052632,1.0,0.0,0,0
3259,47885u,2,16.0,3,3,9.0,2.0,2.0,18.6666666667,3.0,2.0,97,673,333,88.1546391753,1.0,0.0,43.6666666667,37.9879725086,0.0,1.0,1,1
3260,4788u,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2,46,14,135.0,0.0,0.0,3.0,132.0,1.0,0.0,0,0
3261,47905u,0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,72,539,253,118.916666667,0.0,0.0,6.0,112.916666667,1.0,0.0,0,0
3262,47920u,1,18.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2,35,12,903.0,0.0,0.0,18.0,885.0,1.0,0.0,0,0
3263,47921u,1,5.66666666667,3,3,0.0,0.0,0.0,0.0,0.0,0.0,26,176,83,80.7692307692,0.0,0.0,5.66666666667,75.1025641025,1.0,0.0,0,0
3264,47949u,0,26.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,99,810,403,110.313131313,0.0,0.0,26.0,84.313131313,1.0,0.0,0,0
3265,47967u,1,12.9166666667,12,10,9.41666666667,12.0,10.0,12.25,12.0,10.0,113,664,316,63.1327433628,1.0,0.0,34.5833333334,23.7494100294,0.1,0.9,1,1
3266,47969u,0,6.0,2,2,0.0,1.0,1.0,0.0,1.0,1.0,47,382,154,105.106382979,0.0,0.0,6.0,99.106382979,0.1,0.9,1,1
3267,47974u,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,16,155,93,226.6875,0.0,0.0,0.0,226.6875,1.0,0.0,0,0
3268,47977u,0,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,15,105,51,222.933333333,0.0,0.0,6.0,216.933333333,1.0,0.0,0,0
3269,47979u,1,0.0,3,1,0.0,1.0,1.0,0.0,0.0,0.0,20,193,74,85.0,0.0,0.0,0.0,85.0,1.0,0.0,0,0
3270,4797u,0,18.0,1,1,59.0,1.0,1.0,0.0,0.0,0.0,126,847,440,118.484126984,0.0,0.0,77.0,41.484126984,1.0,0.0,0,0
3271,47980u,0,14.75,4,2,2.0,1.0,1.0,19.0,2.0,1.0,4,70,35,211.75,0.0,0.0,35.75,173.0,0.1,0.9,1,1
3272,47988u,1,4.09090909091,22,13,5.07142857143,14.0,11.0,6.33333333333,6.0,6.0,160,1804,575,221.85,0.0,0.0,15.4956709957,201.354329004,0.0,1.0,1,1
3273,47991u,0,24.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,81,966,383,224.358024691,0.0,0.0,24.0,200.358024691,1.0,0.0,0,0
3274,48002u,1,23.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,82,636,293,97.2195121951,0.0,0.0,23.0,74.2195121951,1.0,0.0,0,0
