,identificador,Página,Promedio de tiempo en la página,Número de visitas a páginas,Número de visitas a páginas únicas
33068,63677u,page2,8.5,2,2
33069,63677u,page1,8.0,3,2
33070,63677u,page4,2.0,1,1
33071,86505u,page1,7.0,1,1
33072,294125u,page1,14.0,4,3
33073,294125u,page2,12.5,4,3
33074,294125u,page3,10.3333333333,3,3
33075,294125u,page4,5.33333333333,3,3
33076,71894u,page1,26.5,2,2
33077,71894u,page3,11.5,2,2
33078,71894u,page2,4.5,2,2
33079,71894u,page4,3.5,2,2
33080,194945u,page1,16.0,1,1
33081,194945u,page4,9.0,1,1
33082,194945u,page3,8.0,1,1
33083,194945u,page2,4.0,1,1
33084,118578u,page1,0.0,1,1
33085,71622u,page1,5.0,1,1
33086,280978u,page1,8.0,1,1
33087,150169u,page3,12.0,3,3
33088,150169u,page1,9.25,4,3
33089,150169u,page4,5.0,3,3
33090,150169u,page2,3.0,3,3
33091,223493u,page1,17.0,2,2
33092,101859u,page1,3.5,2,2
33093,244724u,page1,320.0,1,1
33094,246739u,page1,7.5,4,3
33095,246739u,page3,7.0,2,2
33096,246739u,page4,4.5,2,2
33097,246739u,page2,3.0,2,2
33098,132404u,page1,42.0,1,1
33099,132404u,page3,13.0,1,1
33100,132404u,page4,6.0,1,1
33101,132404u,page2,5.0,1,1
33102,66472u,page1,21.0,1,1
33103,66472u,page3,17.0,1,1
33104,66472u,page2,8.0,1,1
33105,66472u,page4,6.0,1,1
33106,92942u,page2,9.75,4,2
33107,92942u,page1,8.875,8,2
33108,92942u,page4,8.5,2,2
33109,92942u,page3,8.0,3,2
33110,98945u,page1,68.0,1,1
33111,289904u,page1,0.0,1,1
33112,87435u,page3,8.5,2,2
33113,87435u,page2,6.66666666667,3,2
33114,87435u,page1,6.33333333333,3,2
33115,87435u,page4,6.0,2,2
33116,6216u,page1,2.16666666667,7,6
33117,63795u,page1,10.5,2,1
33118,22395u,page1,18.3333333333,6,4
33119,22395u,page3,18.0,2,2
33120,22395u,page4,8.5,2,2
33121,22395u,page2,4.5,2,2
33122,109406u,page3,8.5,2,2
33123,109406u,page1,5.66666666667,6,3
33124,109406u,page2,5.5,2,2
33125,109406u,page4,5.0,2,2
33126,18181u,page1,16.5,2,2
33127,18181u,page3,14.5,2,2
33128,18181u,page2,4.5,2,2
33129,18181u,page4,3.5,2,2
33130,257537u,page3,25.2,5,2
33131,257537u,page1,17.75,4,3
33132,257537u,page4,17.5,2,2
33133,257537u,page2,11.0,3,2
33134,197881u,page1,14.5,2,2
33135,226289u,page1,0.0,1,1
33136,29382u,page1,8.5,2,1
33137,286950u,page2,0.0,1,1
33138,286950u,page3,0.0,1,1
33139,286950u,page1,0.0,1,1
33140,286950u,page4,0.0,1,1
33141,197057u,page1,0.0,1,1
33142,228068u,page2,6.0,1,1
33143,228068u,page1,3.5,2,1
33144,12067u,page1,35.3333333333,3,3
33145,12067u,page3,7.5,2,2
33146,12067u,page4,5.0,2,2
33147,12067u,page2,3.5,2,2
33148,108743u,page1,9.0,3,1
33149,108743u,page3,8.0,1,1
33150,108743u,page2,4.0,1,1
33151,108743u,page4,4.0,1,1
33152,21475u,page1,21.0,1,1
33153,21475u,page3,14.0,1,1
33154,21475u,page2,13.0,1,1
33155,21475u,page4,8.0,1,1
33156,207704u,page1,44.5,2,2
33157,207704u,page3,19.0,2,2
33158,207704u,page2,13.0,2,2
33159,207704u,page4,11.0,2,2
33160,40829u,page1,3.0,1,1
33161,209415u,page1,9.0,2,2
33162,272278u,page1,31.0,1,1
33163,227644u,page1,10.0,1,1
33164,136587u,page1,28.0,1,1
33165,136587u,page3,21.0,1,1
33166,136587u,page2,6.0,1,1
33167,136587u,page4,6.0,1,1
33168,201553u,page1,11.0,2,1
33169,201553u,page2,9.0,1,1
33170,201553u,page3,9.0,1,1
33171,201553u,page4,7.0,1,1
33172,147877u,page1,7.0,1,1
33173,31485u,page1,13.5,2,2
33174,31485u,page3,9.0,2,2
33175,31485u,page4,2.5,2,2
33176,31485u,page2,2.0,2,2
33177,24604u,page1,9.0,1,1
33178,277457u,page1,33.25,4,4
33179,277457u,page3,15.25,4,4
33180,277457u,page2,8.0,4,4
33181,277457u,page4,5.0,4,4
33182,167781u,page1,11.25,4,4
33183,167781u,page3,5.16666666667,6,4
33184,167781u,page2,2.25,4,4
33185,167781u,page4,2.25,4,4
33186,137817u,page1,21.0,1,1
33187,137817u,page3,10.3333333333,3,1
33188,137817u,page4,8.0,1,1
33189,137817u,page2,3.0,1,1
33190,163215u,page1,20.0,3,3
33191,65680u,page3,25.0,1,1
33192,65680u,page2,21.5,2,1
33193,65680u,page1,20.5,2,1
33194,65680u,page4,7.0,1,1
33195,23727u,page3,10.0,1,1
33196,23727u,page1,7.0,1,1
33197,23727u,page2,4.0,1,1
33198,23727u,page4,2.0,1,1
33199,49779u,page1,26.0,1,1
33200,156035u,page3,45.3333333333,3,2
33201,156035u,page1,13.7,10,4
33202,156035u,page2,10.6666666667,3,2
33203,156035u,page4,7.5,2,2
33204,214690u,page3,11.0,1,1
33205,214690u,page1,8.0,1,1
33206,214690u,page4,7.0,1,1
33207,214690u,page2,5.0,1,1
33208,220150u,page1,17.0,1,1
33209,295292u,page3,7.5,2,2
33210,295292u,page1,4.4,5,3
33211,295292u,page4,4.0,2,2
33212,295292u,page2,3.0,3,2
33213,244001u,page1,9.0,1,1
33214,130203u,page1,5.0,1,1
33215,46417u,page4,17.0,1,1
33216,46417u,page3,14.0,1,1
33217,46417u,page1,8.0,2,1
33218,46417u,page2,3.0,1,1
33219,236131u,page1,8.33333333333,3,2
33220,236131u,page2,0.0,1,1
33221,236131u,page3,0.0,1,1
33222,236131u,page4,0.0,1,1
33223,155847u,page1,11.0,1,1
33224,61710u,page1,31.0,1,1
33225,161696u,page3,11.0,1,1
33226,161696u,page2,6.4,5,2
33227,161696u,page1,6.125,8,2
33228,161696u,page4,2.0,1,1
33229,55121u,page1,0.0,1,1
33230,229268u,page1,6.0,1,1
33231,136576u,page1,716.0,1,1
33232,220151u,page1,24.0,2,2
33233,220151u,page3,6.0,1,1
33234,220151u,page4,6.0,1,1
33235,220151u,page2,5.0,1,1
33236,187712u,page3,38.0,1,1
33237,187712u,page1,18.0,2,2
33238,187712u,page4,9.0,1,1
33239,187712u,page2,4.0,1,1
33240,195895u,page1,42.0,1,1
33241,44552u,page1,11.75,4,1
33242,44552u,page2,9.5,2,1
33243,176192u,page1,8.66666666667,3,1
33244,61969u,page1,48.0,1,1
33245,168457u,page1,10.0,1,1
33246,254634u,page3,14.0,1,1
33247,254634u,page1,6.0,1,1
33248,254634u,page2,3.0,1,1
33249,254634u,page4,3.0,1,1
33250,101477u,page1,9.0,1,1
33251,179350u,page1,9.0,2,1
33252,173270u,page1,18.3333333333,3,3
33253,173270u,page3,9.0,2,2
33254,173270u,page4,6.0,2,2
33255,173270u,page2,4.5,2,2
33256,229175u,page1,0.5,2,1
33257,229175u,page2,0.0,1,1
33258,229175u,page3,0.0,1,1
33259,229175u,page4,0.0,1,1
33260,277697u,page1,15.0,2,2
33261,13140u,page1,15.0,2,1
33262,13140u,page3,7.0,2,1
33263,13140u,page2,6.5,2,1
33264,13140u,page4,5.0,1,1
33265,133666u,page1,8.0,1,1
33266,234104u,page3,9.0,1,1
33267,234104u,page1,9.0,1,1
33268,234104u,page4,9.0,1,1
33269,234104u,page2,4.0,1,1
33270,183472u,page2,27.0,1,1
33271,183472u,page1,21.0,4,1
33272,60804u,page2,26.0,1,1
33273,60804u,page1,22.0,3,2
33274,106316u,page1,3.0,1,1
33275,229598u,page2,7.0,2,1
33276,229598u,page1,5.0,4,2
33277,137658u,page3,20.0,1,1
33278,137658u,page1,13.1428571429,8,5
33279,137658u,page2,3.0,1,1
33280,137658u,page4,3.0,1,1
33281,16946u,page1,6.125,8,7
33282,16946u,page3,5.7,10,7
33283,16946u,page2,1.75,8,7
33284,16946u,page4,1.625,8,7
33285,271739u,page1,6.5,4,4
33286,289165u,page3,26.0,1,1
33287,289165u,page2,12.5,2,2
33288,289165u,page4,9.0,1,1
33289,289165u,page1,8.66666666667,3,2
33290,198595u,page2,7.0,1,1
33291,198595u,page1,7.0,1,1
33292,198595u,page3,6.0,1,1
33293,198595u,page4,6.0,1,1
33294,62238u,page3,12.3333333333,3,2
33295,62238u,page1,5.0,2,2
33296,62238u,page2,4.5,2,2
33297,62238u,page4,3.5,2,2
33298,205285u,page3,1.0,1,1
33299,205285u,page1,1.0,1,1
33300,205285u,page2,0.0,1,1
33301,205285u,page4,0.0,1,1
33302,128919u,page4,17.0,1,1
33303,128919u,page3,10.0,1,1
33304,128919u,page1,9.0,1,1
33305,128919u,page2,6.0,1,1
33306,50361u,page1,6.0,1,1
33307,78987u,page1,5.0,1,1
33308,249327u,page1,34.0,1,1
33309,167240u,page1,17.0,2,2
33310,229048u,page1,7.0,1,1
33311,106297u,page1,6.0,1,1
33312,13922u,page1,11.0,1,1
33313,13922u,page3,9.6,5,1
33314,13922u,page2,5.0,1,1
33315,13922u,page4,4.0,1,1
33316,164053u,page1,7.0,2,2
33317,88461u,page1,11.0,2,1
33318,88461u,page3,9.0,2,1
33319,88461u,page2,6.5,2,1
33320,88461u,page4,4.0,2,1
33321,31333u,page1,10.0,7,7
33322,31333u,page3,9.28571428571,7,7
33323,31333u,page4,4.83333333333,7,7
33324,31333u,page2,3.71428571429,7,7
33325,260196u,page3,11.0,3,1
33326,260196u,page1,11.0,1,1
33327,260196u,page4,4.0,1,1
33328,260196u,page2,3.0,1,1
33329,23139u,page1,17.3333333333,3,3
33330,23139u,page3,12.0,3,3
33331,23139u,page2,5.66666666667,3,3
33332,23139u,page4,2.33333333333,3,3
33333,184054u,page1,28.0,1,1
33334,125759u,page1,103.0,1,1
33335,121063u,page3,29.0,1,1
33336,121063u,page2,9.0,1,1
33337,121063u,page1,4.5,2,1
33338,196655u,page3,13.0,1,1
33339,196655u,page1,5.0,4,3
33340,196655u,page2,3.0,1,1
33341,196655u,page4,3.0,1,1
33342,66394u,page3,7.0,1,1
33343,66394u,page1,7.0,1,1
33344,66394u,page2,2.0,1,1
33345,66394u,page4,2.0,1,1
33346,41670u,page1,21.5,2,1
33347,41670u,page3,8.0,1,1
33348,41670u,page2,6.0,1,1
33349,210692u,page1,13.0,1,1
33350,31147u,page1,16.8,5,1
33351,31147u,page2,16.6666666667,3,1
33352,142624u,page1,33.0,1,1
33353,142624u,page3,6.5,2,2
33354,142624u,page4,2.5,2,2
33355,142624u,page2,2.0,2,2
33356,15126u,page1,3.66666666667,3,2
33357,144588u,page1,5.0,1,1
33358,108488u,page1,22.0,1,1
33359,201573u,page2,21.0,1,1
33360,201573u,page1,3.0,2,1
33361,194553u,page1,4.0,1,1
33362,164192u,page1,19.0,1,1
33363,154506u,page1,3.0,1,1
33364,271282u,page2,11.0,2,2
33365,271282u,page1,4.25,4,2
33366,28169u,page1,4.0,1,1
33367,273167u,page1,75.0,3,1
33368,273167u,page2,34.0,1,1
33369,273167u,page4,22.0,1,1
33370,273167u,page3,15.0,1,1
33371,233023u,page1,21.0,1,1
33372,233023u,page3,9.0,1,1
33373,233023u,page4,9.0,1,1
33374,233023u,page2,4.0,1,1
33375,107813u,page3,13.0,4,3
33376,107813u,page1,6.25,4,3
33377,107813u,page2,2.25,4,3
33378,107813u,page4,2.25,4,3
33379,132302u,page1,4.0,1,1
33380,147879u,page1,29.0,1,1
33381,57881u,page1,18.0,1,1
33382,234138u,page3,69.0,3,2
33383,234138u,page1,18.0,4,3
33384,234138u,page2,7.0,2,2
33385,234138u,page4,5.0,2,2
33386,14516u,page1,21.75,4,3
33387,14516u,page2,9.0,2,2
33388,14516u,page3,7.5,2,2
33389,14516u,page4,3.5,2,2
33390,249189u,page3,20.0,7,3
33391,249189u,page1,13.7777777778,9,5
33392,249189u,page2,7.66666666667,6,3
33393,249189u,page4,5.75,4,3
33394,81504u,page3,15.0,1,1
33395,81504u,page1,14.0,1,1
33396,81504u,page2,6.0,1,1
33397,81504u,page4,4.0,1,1
33398,95556u,page1,0.0,1,1
33399,139256u,page1,15.0,1,1
33400,165495u,page1,3.33333333333,3,2
33401,88167u,page3,20.0,1,1
33402,88167u,page2,19.0,1,1
33403,88167u,page1,12.5,2,2
33404,88167u,page4,6.0,1,1
33405,128730u,page3,24.0,1,1
33406,128730u,page1,15.0,1,1
33407,128730u,page2,8.0,1,1
33408,128730u,page4,5.0,1,1
33409,177588u,page1,13.0,1,1
33410,177588u,page3,9.0,1,1
33411,177588u,page2,6.0,1,1
33412,177588u,page4,2.0,1,1
33413,85226u,page1,3.0,1,1
33414,81257u,page1,2.0,1,1
33415,35961u,page1,59.3333333333,3,1
33416,35961u,page2,10.0,2,1
33417,35961u,page3,9.0,1,1
33418,35961u,page4,7.0,1,1
33419,73527u,page4,24.0,1,1
33420,73527u,page3,16.6666666667,9,1
33421,73527u,page1,6.75,4,2
33422,73527u,page2,6.0,2,1
33423,102618u,page2,25.0,1,1
33424,102618u,page1,6.0,3,2
33425,118126u,page1,15.5,8,4
33426,118126u,page3,11.8461538462,13,4
33427,118126u,page2,10.7142857143,7,4
33428,118126u,page4,4.0,4,4
33429,160131u,page3,12.3333333333,3,3
33430,160131u,page1,8.25,4,3
33431,160131u,page2,4.75,4,3
33432,160131u,page4,4.66666666667,3,3
33433,220858u,page1,21.0,2,2
33434,283450u,page1,10.0,1,1
33435,241196u,page3,42.0,5,3
33436,241196u,page1,12.5,6,4
33437,241196u,page2,8.0,3,3
33438,241196u,page4,6.33333333333,3,3
33439,58544u,page1,2.0,1,1
33440,297869u,page1,14.5,4,4
33441,222671u,page2,25.0,2,1
33442,222671u,page1,4.0,3,1
33443,49322u,page2,10.0,1,1
33444,49322u,page3,8.0,1,1
33445,49322u,page1,8.0,1,1
33446,49322u,page4,5.0,1,1
33447,198677u,page1,7.44444444444,9,4
33448,198677u,page3,5.66666666667,3,3
33449,198677u,page2,3.75,4,3
33450,198677u,page4,3.0,2,2
33451,215547u,page1,16.0,1,1
33452,183745u,page1,2.0,1,1
33453,270797u,page3,10.25,4,4
33454,270797u,page1,9.2,5,4
33455,270797u,page4,7.0,4,4
33456,270797u,page2,4.25,4,4
33457,158485u,page1,30.3333333333,3,3
33458,158485u,page3,15.5,2,2
33459,158485u,page2,5.5,2,2
33460,158485u,page4,4.5,2,2
33461,64656u,page1,16.0,1,1
33462,111983u,page1,3.75,4,4
33463,205296u,page1,1.0,1,1
33464,222706u,page1,23.0,1,1
33465,19784u,page1,12.0,1,1
33466,81088u,page3,9.0,1,1
33467,81088u,page1,8.0,1,1
33468,81088u,page4,4.0,1,1
33469,81088u,page2,2.0,1,1
33470,112330u,page3,6.66666666667,3,3
33471,112330u,page4,4.66666666667,3,3
33472,112330u,page1,4.2,5,3
33473,112330u,page2,3.66666666667,3,3
33474,230656u,page1,2.5,2,2
33475,261355u,page1,9.14285714286,7,6
33476,261355u,page2,6.4,5,5
33477,261355u,page3,5.33333333333,3,3
33478,261355u,page4,3.33333333333,3,3
33479,275008u,page1,21.0,2,1
33480,275008u,page3,6.0,1,1
33481,275008u,page4,3.0,1,1
33482,275008u,page2,2.0,1,1
33483,138242u,page1,5.0,1,1
33484,67096u,page1,3.0,1,1
33485,264327u,page1,1.66666666667,3,2
33486,133398u,page2,16.6666666667,3,1
33487,133398u,page1,7.25,4,1
33488,222209u,page2,12.1428571429,7,3
33489,222209u,page3,8.5,2,2
33490,222209u,page1,7.77777777778,9,3
33491,222209u,page4,2.5,2,2
33492,32892u,page1,12.0,1,1
33493,156022u,page1,4.0,1,1
33494,97154u,page3,20.0,1,1
33495,97154u,page1,8.0,1,1
33496,97154u,page2,3.0,1,1
33497,97154u,page4,3.0,1,1
33498,297177u,page1,8.33333333333,3,3
33499,275672u,page1,26.0,1,1
33500,275672u,page3,8.0,1,1
33501,275672u,page2,2.0,1,1
33502,275672u,page4,2.0,1,1
33503,184170u,page2,34.0,1,1
33504,184170u,page1,16.5,2,2
33505,337u,page1,5.0,1,1
33506,239738u,page1,13.0,1,1
33507,213844u,page1,12.3333333333,3,2
33508,198706u,page1,179.0,1,1
33509,198706u,page3,6.0,1,1
33510,198706u,page2,4.0,1,1
33511,198706u,page4,4.0,1,1
33512,290535u,page3,7.33333333333,3,2
33513,290535u,page2,4.33333333333,3,2
33514,290535u,page4,4.0,2,2
33515,290535u,page1,3.6,5,2
33516,104905u,page2,6.0,3,1
33517,104905u,page1,5.8,5,1
33518,184829u,page1,6.0,1,1
33519,62065u,page1,33.6666666667,3,3
33520,62065u,page3,10.0,2,2
33521,62065u,page2,9.0,2,2
33522,62065u,page4,6.5,2,2
33523,187630u,page1,5.0,1,1
33524,118927u,page1,12.0,2,2
33525,177511u,page1,87.0,1,1
33526,177511u,page3,9.0,1,1
33527,177511u,page2,7.0,1,1
33528,177511u,page4,4.0,1,1
33529,267111u,page3,10.0,1,1
33530,267111u,page1,4.0,2,2
33531,267111u,page4,4.0,1,1
33532,267111u,page2,3.0,1,1
33533,200430u,page1,11.0,1,1
33534,114673u,page3,10.0,1,1
33535,114673u,page1,7.0,1,1
33536,114673u,page2,3.0,1,1
33537,114673u,page4,2.0,1,1
33538,103514u,page1,20.3333333333,3,2
33539,258080u,page1,12.0,1,1
33540,175868u,page1,4.0,1,1
33541,83108u,page1,44.0,1,1
33542,83108u,page3,13.0,1,1
33543,83108u,page4,6.0,1,1
33544,83108u,page2,5.0,1,1
33545,225453u,page3,19.3333333333,3,1
33546,225453u,page1,8.0,5,1
33547,225453u,page4,5.0,1,1
33548,225453u,page2,2.66666666667,3,1
33549,13987u,page2,9.0,2,1
33550,13987u,page1,4.75,4,1
33551,271868u,page2,10.0,3,2
33552,271868u,page1,6.4,5,2
33553,271868u,page3,6.0,1,1
33554,271868u,page4,3.0,1,1
33555,205468u,page1,7.0,1,1
33556,236292u,page1,12.1666666667,6,3
33557,121769u,page1,17.0,1,1
33558,24800u,page1,11.0,3,3
33559,24800u,page3,9.66666666667,3,3
33560,24800u,page4,4.0,3,3
33561,24800u,page2,3.66666666667,3,3
33562,222541u,page3,17.0,4,2
33563,222541u,page1,9.2,5,2
33564,222541u,page4,5.0,2,2
33565,222541u,page2,3.66666666667,3,2
33566,206548u,page1,8.66666666667,3,3
33567,206548u,page3,4.5,2,2
33568,206548u,page2,2.0,2,2
33569,206548u,page4,0.0,2,2
33570,282953u,page1,15.0,1,1
33571,51015u,page1,10.0,4,1
33572,197467u,page1,19.0,1,1
33573,256704u,page1,57.0,1,1
33574,125247u,page3,11.0,2,2
33575,125247u,page4,7.0,2,2
33576,125247u,page2,5.0,2,2
33577,125247u,page1,4.0,2,2
33578,35635u,page1,2.5,10,4
33579,73587u,page3,16.0,1,1
33580,73587u,page4,11.0,2,1
33581,73587u,page1,10.0,3,3
33582,73587u,page2,4.0,1,1
33583,174706u,page1,18.0,1,1
33584,174706u,page3,14.0,1,1
33585,174706u,page4,6.0,1,1
33586,174706u,page2,5.0,1,1
33587,237562u,page1,1.0,1,1
33588,204586u,page2,11.0,1,1
33589,204586u,page3,11.0,1,1
33590,204586u,page1,5.0,1,1
33591,204586u,page4,4.0,1,1
33592,295578u,page1,7.0,1,1
33593,154208u,page1,10.5,2,1
33594,154208u,page3,6.0,1,1
33595,154208u,page2,3.0,1,1
33596,154208u,page4,2.0,1,1
33597,55886u,page1,5.0,1,1
33598,74146u,page3,12.4,5,5
33599,74146u,page1,9.16666666667,6,5
33600,74146u,page4,5.2,5,5
33601,74146u,page2,4.83333333333,6,5
33602,131634u,page1,54.0,1,1
33603,131634u,page2,24.0,1,1
33604,131634u,page3,16.0,1,1
33605,131634u,page4,7.0,1,1
33606,193931u,page1,12.0,3,3
33607,186937u,page1,4.0,1,1
33608,257920u,page1,9.0,1,1
33609,85096u,page3,12.0,1,1
33610,85096u,page1,6.16666666667,6,2
33611,85096u,page2,6.0,3,2
33612,85096u,page4,4.0,1,1
33613,195387u,page1,16.0,2,2
33614,132547u,page1,17.0,2,2
33615,132547u,page3,10.0,2,2
33616,132547u,page4,4.0,2,2
33617,132547u,page2,3.5,2,2
33618,205913u,page1,7.5,4,2
33619,205913u,page3,6.66666666667,3,2
33620,205913u,page2,5.0,4,2
33621,205913u,page4,5.0,3,2
33622,70463u,page3,6.0,5,1
33623,70463u,page1,5.2,5,1
33624,70463u,page2,4.33333333333,3,1
33625,252853u,page3,12.0,1,1
33626,252853u,page1,10.0,4,4
33627,252853u,page4,5.0,1,1
33628,252853u,page2,2.0,1,1
33629,195180u,page1,12.0,1,1
33630,34627u,page1,18.0,1,1
33631,213419u,page1,7.0,1,1
33632,141379u,page3,10.5,4,2
33633,141379u,page1,7.16666666667,6,2
33634,141379u,page2,4.8,5,2
33635,141379u,page4,4.0,4,2
33636,9325u,page1,7.0,1,1
33637,195259u,page1,12.5,2,2
33638,195259u,page3,8.5,2,2
33639,195259u,page4,7.5,2,2
33640,195259u,page2,4.5,2,2
33641,18171u,page1,18.0,1,1
33642,18171u,page3,15.0,1,1
33643,18171u,page4,8.0,1,1
33644,18171u,page2,5.0,1,1
33645,106351u,page1,3.0,1,1
33646,20421u,page3,22.3333333333,3,2
33647,20421u,page1,17.0,2,2
33648,20421u,page4,7.0,2,2
33649,20421u,page2,5.0,2,2
33650,11148u,page1,12.0,3,2
33651,11148u,page3,7.0,1,1
33652,11148u,page2,5.0,1,1
33653,11148u,page4,4.0,1,1
33654,79555u,page3,19.0,1,1
33655,79555u,page1,17.0,1,1
33656,79555u,page4,4.0,1,1
33657,79555u,page2,3.0,1,1
33658,206888u,page1,4.0,1,1
33659,63684u,page1,1.0,1,1
33660,253245u,page1,3.0,2,2
33661,39627u,page4,228.0,1,1
33662,39627u,page3,12.0,1,1
33663,39627u,page1,7.5,2,2
33664,39627u,page2,5.0,1,1
33665,252711u,page3,13.8,5,5
33666,252711u,page1,10.0,6,6
33667,252711u,page2,3.0,5,5
33668,252711u,page4,2.5,5,5
33669,111453u,page1,5.0,2,2
33670,46709u,page1,6.0,1,1
33671,191184u,page1,8.0,1,1
33672,69178u,page1,2.0,1,1
33673,222813u,page3,16.0,3,2
33674,222813u,page1,7.8,5,4
33675,222813u,page4,3.0,1,1
33676,222813u,page2,2.25,4,3
33677,109722u,page1,2.0,1,1
33678,166639u,page1,12.0,2,2
33679,242404u,page1,4.0,1,1
33680,95487u,page1,8.0,1,1
33681,93047u,page1,32.0,2,2
33682,93047u,page2,14.0,1,1
33683,93047u,page3,7.0,1,1
33684,93047u,page4,4.0,1,1
33685,94731u,page1,40.0,1,1
33686,94731u,page3,9.0,1,1
33687,94731u,page4,4.0,1,1
33688,94731u,page2,3.0,1,1
33689,43665u,page1,5.0,1,1
33690,257101u,page1,0.0,1,1
33691,89322u,page2,14.6666666667,3,1
33692,89322u,page1,8.2,5,1
33693,268191u,page1,1.0,1,1
33694,112585u,page1,10.0,1,1
33695,112585u,page3,7.0,1,1
33696,112585u,page4,6.0,1,1
33697,112585u,page2,3.0,1,1
33698,168129u,page3,26.0,1,1
33699,168129u,page1,17.0,1,1
33700,168129u,page4,5.0,1,1
33701,168129u,page2,4.0,1,1
33702,258816u,page1,13.3333333333,3,2
33703,258816u,page2,9.0,1,1
33704,258816u,page3,9.0,1,1
33705,258816u,page4,7.0,1,1
33706,220878u,page1,9.5,2,2
33707,220878u,page3,9.0,2,2
33708,220878u,page4,7.0,2,2
33709,220878u,page2,2.0,2,2
33710,61133u,page3,12.6666666667,6,4
33711,61133u,page1,7.41666666667,12,5
33712,61133u,page2,6.6,10,5
33713,61133u,page4,6.0,6,4
33714,194549u,page1,3.0,1,1
33715,24432u,page1,24.0,1,1
33716,24432u,page3,13.0,1,1
33717,24432u,page2,4.0,1,1
33718,24432u,page4,3.0,1,1
33719,195624u,page1,2.0,1,1
33720,121345u,page1,2.0,1,1
33721,175499u,page3,15.5,6,3
33722,175499u,page1,7.42857142857,7,5
33723,175499u,page2,7.0,4,3
33724,175499u,page4,3.5,2,2
33725,212794u,page3,14.6666666667,3,1
33726,212794u,page1,13.0,1,1
33727,212794u,page4,6.0,1,1
33728,212794u,page2,5.0,1,1
33729,129138u,page3,20.0,1,1
33730,129138u,page1,10.0,2,2
33731,129138u,page4,10.0,1,1
33732,129138u,page2,5.0,1,1
33733,159662u,page1,31.0,2,2
33734,159662u,page3,19.0,1,1
33735,159662u,page4,15.0,1,1
33736,159662u,page2,7.5,2,2
33737,43330u,page1,3.0,1,1
33738,104717u,page1,64.0,1,1
33739,8375u,page1,15.0,1,1
33740,150229u,page3,17.0,1,1
33741,150229u,page1,13.0,3,1
33742,150229u,page2,11.0,2,1
33743,150229u,page4,10.0,1,1
33744,7898u,page1,2.0,1,1
33745,286280u,page1,18.0,1,1
33746,286280u,page3,12.0,1,1
33747,286280u,page2,8.0,1,1
33748,286280u,page4,7.0,1,1
33749,121923u,page1,8.5,2,1
33750,239130u,page1,1.0,1,1
33751,287648u,page3,6.0,2,2
33752,287648u,page2,5.4,5,3
33753,287648u,page1,4.0,7,3
33754,287648u,page4,3.0,2,2
33755,259277u,page1,41.0,1,1
33756,259277u,page3,16.0,1,1
33757,259277u,page2,7.0,1,1
33758,259277u,page4,4.0,1,1
33759,113840u,page2,20.0,4,1
33760,113840u,page1,8.6,5,1
33761,180337u,page3,13.0,1,1
33762,180337u,page2,5.0,1,1
33763,180337u,page4,4.0,1,1
33764,180337u,page1,3.33333333333,3,2
33765,39117u,page1,6.0,1,1
33766,16808u,page1,7.0,1,1
33767,201535u,page1,7.5,2,2
33768,54266u,page1,169.0,2,1
33769,116388u,page1,6.0,1,1
33770,162927u,page1,11.0,1,1
33771,172711u,page1,10.6666666667,3,2
33772,172711u,page3,9.0,1,1
33773,172711u,page2,8.5,2,1
33774,172711u,page4,7.0,1,1
33775,81934u,page1,16.0,1,1
33776,115426u,page1,3.5,4,2
33777,1096u,page1,6.0,1,1
33778,58984u,page1,32.0,1,1
33779,137974u,page1,18.0,1,1
33780,180702u,page1,18.6666666667,3,3
33781,180702u,page3,8.5,2,2
33782,180702u,page2,4.66666666667,3,3
33783,180702u,page4,2.0,2,2
33784,273547u,page3,13.5,2,2
33785,273547u,page2,8.66666666667,3,2
33786,273547u,page4,8.0,2,2
33787,273547u,page1,4.33333333333,3,2
33788,2655u,page1,14.0,1,1
33789,157569u,page3,33.0,1,1
33790,157569u,page1,29.5,2,2
33791,157569u,page4,14.0,1,1
33792,157569u,page2,13.0,1,1
33793,166363u,page1,10.0,1,1
33794,275086u,page1,29.0,3,2
33795,76619u,page3,14.3333333333,3,3
33796,76619u,page1,10.25,4,3
33797,76619u,page2,5.33333333333,3,3
33798,76619u,page4,4.0,3,3
33799,200383u,page3,39.0,2,1
33800,200383u,page1,36.2,5,3
33801,200383u,page4,9.0,1,1
33802,200383u,page2,7.5,2,1
33803,171959u,page1,38.0,1,1
33804,171959u,page3,25.0,1,1
33805,171959u,page4,11.0,1,1
33806,171959u,page2,9.0,1,1
33807,139337u,page3,9.0,1,1
33808,139337u,page1,9.0,2,2
33809,139337u,page2,5.0,1,1
33810,139337u,page4,5.0,1,1
33811,49929u,page3,18.0,1,1
33812,49929u,page2,11.0,1,1
33813,49929u,page1,11.0,3,2
33814,49929u,page4,3.0,1,1
33815,154511u,page2,10.5,4,1
33816,154511u,page1,5.57142857143,7,1
33817,6445u,page1,11.0,1,1
33818,258335u,page3,14.0,1,1
33819,258335u,page1,11.5,2,2
33820,258335u,page2,6.0,1,1
33821,258335u,page4,3.0,1,1
33822,271827u,page1,8.5,2,2
33823,271827u,page3,8.33333333333,3,2
33824,271827u,page4,5.0,2,2
33825,271827u,page2,3.5,2,2
33826,156633u,page3,33.0,1,1
33827,156633u,page1,31.0,3,3
33828,156633u,page4,11.0,1,1
