,identificador,Página,Promedio de tiempo en la página,Número de visitas a páginas,Número de visitas a páginas únicas
238,182721u,page4,3.0,2,2
239,182721u,page2,2.5,2,2
240,186509u,page1,7.0,1,1
241,271316u,page4,34.0,1,1
242,271316u,page1,25.0,1,1
243,271316u,page3,18.0,1,1
244,271316u,page2,7.0,1,1
245,83671u,page1,3.47058823529,35,16
246,276219u,page1,18.5,6,4
247,276219u,page3,12.8333333333,6,4
248,276219u,page2,6.33333333333,6,4
249,276219u,page4,6.2,5,4
250,264220u,page3,15.0,1,1
251,264220u,page1,6.0,1,1
252,264220u,page4,4.0,1,1
253,264220u,page2,2.0,1,1
254,22781u,page4,27.0,1,1
255,22781u,page3,9.66666666667,3,1
256,22781u,page1,8.0,1,1
257,22781u,page2,3.0,1,1
258,105985u,page3,20.0,1,1
259,105985u,page1,9.0,2,2
260,105985u,page2,4.0,1,1
261,105985u,page4,3.0,1,1
262,16434u,page1,55.0,1,1
263,16434u,page3,13.0,1,1
264,16434u,page2,7.0,1,1
265,16434u,page4,6.0,1,1
266,121021u,page3,7.0,2,2
267,121021u,page1,6.66666666667,3,2
268,121021u,page2,6.0,3,2
269,121021u,page4,4.5,2,2
270,44486u,page3,9.0,1,1
271,44486u,page1,8.0,1,1
272,44486u,page2,2.0,1,1
273,44486u,page4,2.0,1,1
274,260210u,page3,17.0,3,3
275,260210u,page1,9.83333333333,12,4
276,260210u,page4,8.66666666667,3,3
277,260210u,page2,8.0,6,3
278,288279u,page2,11.0,1,1
279,288279u,page1,4.33333333333,3,2
280,262931u,page1,5.0,1,1
281,193443u,page2,25.0,1,1
282,193443u,page1,17.7142857143,7,1
283,193443u,page3,15.0,1,1
284,193443u,page4,10.0,1,1
285,123715u,page3,9.5,2,2
286,123715u,page1,9.0,2,2
287,123715u,page2,2.5,2,2
288,123715u,page4,2.5,2,2
289,25861u,page3,22.0,1,1
290,25861u,page2,11.625,8,2
291,25861u,page1,7.04545454545,22,2
292,25861u,page4,6.0,1,1
293,257009u,page1,28.0,1,1
294,237107u,page1,15.0,3,3
295,237107u,page3,9.0,3,3
296,237107u,page4,7.66666666667,3,3
297,237107u,page2,4.66666666667,3,3
298,12053u,page1,1.0,1,1
299,252063u,page1,29.0,1,1
300,252063u,page3,15.0,1,1
301,252063u,page2,8.0,1,1
302,252063u,page4,8.0,1,1
303,238125u,page1,16.0,1,1
304,272177u,page1,14.5,2,1
305,31880u,page1,23.5,2,1
306,267352u,page1,7.625,16,8
307,267352u,page3,6.75,4,3
308,267352u,page4,5.66666666667,4,3
309,267352u,page2,2.0,5,4
310,43238u,page1,27.0,1,1
311,273975u,page1,14.0,1,1
312,220744u,page1,12.0,1,1
313,187809u,page1,4.0,1,1
314,224626u,page3,13.0,1,1
315,224626u,page1,10.0,1,1
316,224626u,page2,4.0,1,1
317,224626u,page4,2.0,1,1
318,74832u,page1,25.0,1,1
319,280448u,page1,2.0,1,1
320,284071u,page3,14.3333333333,3,3
321,284071u,page1,9.0,3,3
322,284071u,page4,5.0,3,3
323,284071u,page2,3.33333333333,3,3
324,59801u,page1,7.5,2,2
325,241594u,page1,23.0,1,1
326,105943u,page1,7.0,1,1
327,142221u,page3,13.0,3,3
328,142221u,page1,9.33333333333,3,3
329,142221u,page4,3.66666666667,3,3
330,142221u,page2,2.33333333333,3,3
331,249607u,page2,50.2,5,4
332,249607u,page1,9.66666666667,6,4
333,249607u,page3,7.66666666667,3,3
334,249607u,page4,6.33333333333,3,3
335,226126u,page1,5.0,1,1
336,172491u,page1,21.0,1,1
337,172491u,page3,20.0,1,1
338,172491u,page2,3.0,1,1
339,172491u,page4,3.0,1,1
340,188882u,page1,2.5,2,2
341,190760u,page1,6.0,1,1
342,202521u,page1,21.0,1,1
343,27101u,page1,33.6666666667,3,1
344,159972u,page1,11.0,1,1
345,220687u,page1,6.0,1,1
346,290748u,page3,26.5,4,2
347,290748u,page2,17.6666666667,3,2
348,290748u,page1,9.5,6,2
349,290748u,page4,8.5,2,2
350,56553u,page1,17.0,4,1
351,283526u,page1,52.0,1,1
352,283526u,page4,9.0,1,1
353,283526u,page2,7.0,1,1
354,283526u,page3,7.0,1,1
355,9480u,page1,7.0,2,2
356,70467u,page1,8.0,1,1
357,146990u,page3,29.0,1,1
358,146990u,page1,13.0,1,1
359,146990u,page4,13.0,1,1
360,146990u,page2,5.0,1,1
361,268302u,page1,21.0,1,1
362,292593u,page1,31.0,1,1
363,219100u,page1,28.0,1,1
364,62089u,page1,20.0,2,1
365,124452u,page3,8.6,5,4
366,124452u,page1,6.16666666667,6,4
367,124452u,page2,3.6,5,4
368,124452u,page4,3.25,4,4
369,5u,page1,2.0,1,1
370,80364u,page1,3.0,1,1
371,203068u,page1,0.0,1,1
372,289060u,page3,14.0,1,1
373,289060u,page1,10.0,2,2
374,289060u,page4,5.0,1,1
375,289060u,page2,4.0,1,1
376,236003u,page1,1.0,1,1
377,179217u,page1,15.0,1,1
378,189417u,page3,32.0,5,1
379,189417u,page2,17.3333333333,6,3
380,189417u,page1,9.88235294118,17,6
381,189417u,page4,9.0,1,1
382,15601u,page1,31.0,1,1
383,15601u,page3,11.0,1,1
384,15601u,page2,4.0,1,1
385,15601u,page4,3.0,1,1
386,129283u,page1,2.0,1,1
387,51135u,page1,43.0,1,1
388,13788u,page1,7.0,1,1
389,115633u,page1,8.0,1,1
390,21838u,page1,20.0,1,1
391,191390u,page1,6.0,1,1
392,69634u,page1,1.5,2,2
393,161144u,page3,48.0,1,1
394,161144u,page1,13.0,2,1
395,161144u,page4,10.0,1,1
396,161144u,page2,9.5,2,1
397,122446u,page3,15.0,1,1
398,122446u,page1,5.5,4,2
399,122446u,page2,3.0,1,1
400,188584u,page1,13.0,1,1
401,291169u,page3,12.6666666667,3,3
402,291169u,page4,10.0,4,3
403,291169u,page1,9.66666666667,3,3
404,291169u,page2,6.66666666667,3,3
405,287340u,page3,20.0,1,1
406,287340u,page2,15.0,2,1
407,287340u,page1,7.66666666667,3,2
408,287340u,page4,7.0,1,1
409,293950u,page1,84.0,1,1
410,102918u,page2,22.0,1,1
411,102918u,page1,11.0,2,1
412,77897u,page1,42.1666666667,6,5
413,77897u,page3,10.3333333333,3,3
414,77897u,page4,3.0,3,3
415,77897u,page2,2.33333333333,3,3
416,226550u,page3,44.0,2,1
417,226550u,page2,30.5,2,2
418,226550u,page1,18.5,4,3
419,77486u,page1,27.5,2,2
420,93804u,page3,29.5,2,2
421,93804u,page1,28.6666666667,3,2
422,93804u,page2,27.5,2,2
423,93804u,page4,13.0,2,2
424,95216u,page1,38.0,1,1
425,95216u,page3,8.0,1,1
426,95216u,page4,7.0,1,1
427,95216u,page2,4.0,1,1
428,127703u,page4,18.0,1,1
429,127703u,page1,12.75,4,3
430,127703u,page3,10.0,1,1
431,127703u,page2,4.0,2,2
432,273787u,page1,21.0,1,1
433,273787u,page3,12.0,1,1
434,273787u,page4,12.0,1,1
435,273787u,page2,7.0,1,1
436,267644u,page1,20.75,4,3
437,267644u,page3,12.0,4,3
438,267644u,page2,3.75,4,3
439,267644u,page4,3.0,4,3
440,114837u,page1,2.0,1,1
441,122506u,page1,29.5,2,2
442,122506u,page2,11.5,2,2
443,122506u,page3,11.5,2,2
444,122506u,page4,5.5,2,2
445,152951u,page1,33.0,1,1
446,152951u,page3,22.3333333333,3,1
447,152951u,page4,4.0,1,1
448,152951u,page2,3.0,1,1
449,250007u,page2,21.0,1,1
450,250007u,page1,3.5,2,1
451,141557u,page1,3.0,2,1
452,153009u,page1,3.0,1,1
453,215674u,page1,27.0,3,3
454,215674u,page3,13.5,2,2
455,215674u,page4,5.0,2,2
456,215674u,page2,4.0,2,2
457,141102u,page1,2.0,1,1
458,215114u,page1,3.0,1,1
459,218815u,page1,5.0,1,1
460,88182u,page1,3.0,1,1
461,18724u,page3,57.0,1,1
462,18724u,page1,21.3333333333,3,3
463,18724u,page2,10.0,1,1
464,18724u,page4,8.0,1,1
465,71329u,page1,16.0,1,1
466,165775u,page1,7.0,1,1
467,247631u,page1,1.0,1,1
468,159636u,page1,21.5,2,2
469,191210u,page1,4.0,1,1
470,137755u,page1,6.0,1,1
471,60178u,page2,6.0,1,1
472,60178u,page1,3.5,2,1
473,274804u,page1,15.0,2,1
474,242632u,page1,14.5,2,1
475,175615u,page1,3.0,1,1
476,152002u,page3,31.6666666667,3,1
477,152002u,page1,11.5,2,1
478,152002u,page2,4.5,2,1
479,6784u,page3,18.0,1,1
480,6784u,page1,11.0,1,1
481,6784u,page2,6.0,1,1
482,6784u,page4,4.0,1,1
483,79574u,page1,3.5,2,2
484,79574u,page2,0.0,1,1
485,79574u,page3,0.0,1,1
486,79574u,page4,0.0,1,1
487,69042u,page1,51.0,1,1
488,69042u,page3,42.1666666667,6,1
489,69042u,page2,9.0,1,1
490,275974u,page3,34.6666666667,3,2
491,275974u,page1,23.6666666667,3,3
492,275974u,page4,8.5,2,2
493,275974u,page2,8.0,2,2
494,193787u,page1,457.0,1,1
495,257976u,page1,30.0,1,1
496,127905u,page1,3.0,1,1
497,51604u,page3,17.0,1,1
498,51604u,page1,15.0,1,1
499,51604u,page4,10.0,1,1
500,51604u,page2,5.0,1,1
501,40502u,page3,42.0,1,1
502,40502u,page4,12.0,1,1
503,40502u,page1,7.0,1,1
504,40502u,page2,4.0,1,1
505,107305u,page3,15.5,2,1
506,107305u,page1,11.0,1,1
507,107305u,page2,7.0,1,1
508,107305u,page4,5.0,1,1
509,196237u,page1,0.0,1,1
510,144985u,page1,4.0,1,1
511,286418u,page1,4.0,2,2
512,121517u,page1,21.0,3,3
513,50143u,page2,12.0,2,1
514,50143u,page3,12.0,1,1
515,50143u,page4,7.0,1,1
516,50143u,page1,5.33333333333,3,2
517,174341u,page2,8.5,2,1
518,174341u,page3,8.0,1,1
519,174341u,page4,7.0,1,1
520,174341u,page1,4.33333333333,3,1
521,80444u,page1,21.0,1,1
522,219212u,page1,8.0,1,1
523,136451u,page1,2.0,1,1
524,223076u,page2,13.75,4,2
525,223076u,page1,11.1666666667,6,2
526,223076u,page3,10.0,2,2
527,223076u,page4,7.5,2,2
528,67188u,page1,41.0,1,1
529,73494u,page1,2.0,1,1
530,36900u,page1,8.0,1,1
531,128328u,page1,10.6666666667,3,3
532,128328u,page3,8.5,2,2
533,128328u,page4,4.5,2,2
534,128328u,page2,1.5,2,2
535,29605u,page2,11.5,2,1
536,29605u,page3,10.0,1,1
537,29605u,page1,6.66666666667,3,1
538,29605u,page4,5.0,1,1
539,265297u,page1,17.0,1,1
540,231319u,page1,55.0,1,1
541,186190u,page1,4.0,1,1
542,74550u,page1,3.0,1,1
543,13743u,page1,27.0,1,1
544,13743u,page3,16.0,1,1
545,13743u,page2,4.0,1,1
546,13743u,page4,4.0,1,1
547,54100u,page1,23.0,3,3
548,272073u,page1,7.0,3,3
549,129622u,page3,24.0,1,1
550,129622u,page1,20.5,2,1
551,129622u,page2,12.0,1,1
552,129622u,page4,7.0,1,1
553,160035u,page4,28.0,1,1
554,160035u,page1,12.0,1,1
555,160035u,page3,9.0,1,1
556,160035u,page2,4.0,1,1
557,271465u,page1,32.0,2,1
558,73941u,page1,2.0,1,1
559,37847u,page1,4.25,4,1
560,148275u,page3,24.6666666667,3,2
561,148275u,page1,10.75,4,3
562,148275u,page2,8.0,2,2
563,148275u,page4,5.0,1,1
564,63971u,page1,12.6666666667,3,1
565,63971u,page3,12.0,1,1
566,63971u,page4,8.0,1,1
567,63971u,page2,6.0,1,1
568,62320u,page1,10.0,1,1
569,5122u,page1,6.33333333333,13,12
570,284543u,page1,4.0,1,1
571,243994u,page3,56.1666666667,6,3
572,243994u,page4,36.0,3,3
573,243994u,page1,7.66666666667,3,3
574,243994u,page2,3.0,3,3
575,252997u,page1,2.0,1,1
576,217265u,page3,21.0,1,1
577,217265u,page4,9.0,1,1
578,217265u,page1,8.0,1,1
579,217265u,page2,5.0,1,1
580,155376u,page3,16.5,2,2
581,155376u,page1,12.5,2,2
582,155376u,page4,6.0,2,2
583,155376u,page2,3.5,2,2
584,245680u,page1,25.0,2,1
585,245680u,page3,18.0,2,1
586,245680u,page2,10.0,2,1
587,245680u,page4,7.0,2,1
588,3740u,page1,29.0,1,1
589,3740u,page3,14.0,1,1
590,3740u,page2,5.0,1,1
591,3740u,page4,5.0,1,1
592,194314u,page1,2.0,1,1
593,162405u,page1,14.3333333333,3,3
594,162405u,page2,13.6666666667,3,3
595,162405u,page3,12.0,3,3
596,162405u,page4,10.3333333333,3,3
597,282902u,page4,32.0,1,1
598,282902u,page1,25.0,2,2
599,282902u,page2,12.0,1,1
