identificador,ssoo,profundidad,avg_tiempo_pag1,vistas_pag1,vistas_unicas_pag1,avg_tiempo_pag2,vistas_pag2,vistas_unicas_pag2,avg_tiempo_pag3,vistas_pag3,vistas_unicas_pag3,avg_tiempo_pag4,vistas_pag4,vistas_unicas_pag4,sesiones,vistas,vistas_unicas,duracion_media_sesion,vistas_user_error,vistas_process_error,avg_tiempo_proceso,avg_tiempo_no_proceso,Y
290969u,1,1,15.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,350,143,234.714285714,0.0,0.0,15.0,219.714285714,0
290975u,0,1,16.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,483,184,402.181818182,0.0,0.0,16.0,386.181818182,0
290978u,1,1,20.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,357,129,435.0,0.0,0.0,20.0,415.0,0
290991u,1,1,7.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,855,364,213.261682243,0.0,0.0,7.0,206.261682243,0
290995u,1,1,8.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,260,110,268.84,0.0,0.0,8.0,260.84,0
291000u,1,4,10.0,1,1,3.0,1.0,1.0,10.0,1.0,1.0,4.0,1.0,1.0,12,95,56,95.4166666667,0.0,0.0,23.0,68.4166666667,1
291010u,0,4,10.0,1,1,2.0,1.0,1.0,10.0,1.0,1.0,5.0,1.0,1.0,71,573,255,82.3943661972,0.0,0.0,22.0,55.3943661972,1
291013u,0,4,10.5,4,4,2.75,4.0,4.0,7.5,4.0,4.0,4.0,4.0,4.0,36,498,180,169.777777778,0.0,0.0,20.75,145.027777778,1
291025u,0,1,4.5,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,384,158,127.216216216,0.0,0.0,4.5,122.716216216,0
291030u,1,1,48.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,152,53,247.571428571,0.0,0.0,48.0,199.571428571,0
291041u,1,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,670,234,270.029411765,0.0,0.0,6.0,264.029411765,0
291050u,1,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,96,40,382.3,0.0,0.0,3.0,379.3,0
291053u,0,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,679,216,158.379310345,0.0,0.0,6.0,152.379310345,0
291071u,1,4,22.0,1,1,3.0,1.0,1.0,7.0,1.0,1.0,3.0,1.0,1.0,14,250,61,251.571428571,0.0,0.0,32.0,216.571428571,1
29107u,0,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,276,124,171.857142857,0.0,0.0,3.0,168.857142857,0
291088u,1,2,6.0,2,1,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,116,1352,561,143.00862069,0.0,0.0,19.0,124.00862069,0
291092u,1,1,26.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,364,157,216.363636364,0.0,0.0,26.0,190.363636364,0
291099u,0,4,10.0,1,1,4.0,1.0,1.0,7.0,1.0,1.0,3.0,1.0,1.0,24,157,83,78.0833333333,0.0,0.0,21.0,54.0833333333,1
291102u,0,1,7.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,564,191,210.520833333,0.0,0.0,7.0,203.520833333,0
291115u,1,4,4.0,1,1,2.0,1.0,1.0,7.0,1.0,1.0,5.0,1.0,1.0,38,256,110,68.2105263158,0.0,0.0,13.0,50.2105263158,1
291127u,1,1,12.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,2778,689,254.061349693,0.0,0.0,12.0,242.061349693,0
