,identificador,Sistema operativo,Usuarios
11380,93081u,Windows OS,1
11381,142923u,Mac OS,1
11382,29629u,Mac OS,1
11383,230364u,Windows OS,1
11384,293180u,Mac OS,1
11385,67296u,Mac OS,1
11386,33253u,Windows OS,1
11387,10368u,Windows OS,1
11388,187188u,Windows OS,1
11389,109165u,Mac OS,1
11390,295194u,Mac OS,1
11391,158806u,Windows OS,1
11392,18447u,Mac OS,1
11393,46888u,Mac OS,1
11394,294423u,Windows OS,1
11395,293733u,Mac OS,1
11396,53000u,Windows OS,1
11397,256852u,Mac OS,1
11398,242136u,Windows OS,1
11399,189292u,Mac OS,1
11400,51028u,Windows OS,1
11401,137310u,Mac OS,1
11402,277580u,Windows OS,1
11403,17297u,Windows OS,1
11404,268654u,Windows OS,1
11405,1037u,Windows OS,1
11406,21592u,Mac OS,1
11407,193331u,Mac OS,1
11408,21140u,Windows OS,1
11409,120660u,Windows OS,1
11410,281398u,Windows OS,1
11411,24268u,Windows OS,1
11412,39704u,Mac OS,1
11413,219745u,Windows OS,1
11414,162800u,Windows OS,1
11415,183668u,Windows OS,1
11416,292122u,Windows OS,1
11417,161808u,Mac OS,1
11418,251019u,Mac OS,1
11419,155336u,Mac OS,1
11420,92652u,Windows OS,1
11421,93679u,Windows OS,1
11422,25934u,Mac OS,1
11423,191872u,Mac OS,1
11424,215185u,Mac OS,1
11425,107175u,Windows OS,1
11426,147912u,Windows OS,1
11427,65990u,Windows OS,1
11428,223433u,Windows OS,1
11429,249029u,Mac OS,1
11430,135157u,Windows OS,1
11431,233469u,Mac OS,1
11432,142055u,Mac OS,1
11433,141984u,Windows OS,1
11434,178857u,Mac OS,1
11435,170107u,Windows OS,1
11436,202852u,Windows OS,1
11437,291633u,Windows OS,1
11438,240089u,Windows OS,1
11439,270084u,Windows OS,1
11440,209733u,Mac OS,1
11441,271456u,Windows OS,1
11442,273551u,Windows OS,1
11443,215478u,Windows OS,1
11444,280431u,Mac OS,1
11445,278144u,Mac OS,1
11446,218250u,Windows OS,1
11447,189999u,Windows OS,1
11448,62331u,Windows OS,1
11449,19018u,Windows OS,1
11450,299639u,Windows OS,1
11451,289645u,Mac OS,1
11452,12298u,Mac OS,1
11453,59794u,Windows OS,1
11454,181856u,Windows OS,1
11455,276493u,Windows OS,1
11456,197128u,Mac OS,1
11457,179926u,Windows OS,1
11458,133380u,Windows OS,1
11459,19172u,Mac OS,1
11460,116171u,Mac OS,1
11461,191823u,Mac OS,1
11462,182291u,Mac OS,1
11463,29811u,Windows OS,1
11464,26954u,Windows OS,1
11465,151453u,Windows OS,1
11466,109178u,Mac OS,1
11467,201213u,Windows OS,1
11468,197894u,Windows OS,1
11469,138225u,Mac OS,1
11470,217383u,Mac OS,1
11471,60106u,Windows OS,1
11472,153295u,Windows OS,1
11473,40890u,Windows OS,1
11474,16924u,Mac OS,1
11475,110928u,Mac OS,1
11476,218539u,Windows OS,1
11477,145697u,Windows OS,1
11478,145697u,Mac OS,1
11479,179928u,Mac OS,1
11480,50939u,Windows OS,1
11481,100016u,Mac OS,1
11482,17486u,Mac OS,1
11483,258066u,Windows OS,1
11484,215741u,Mac OS,1
11485,91326u,Mac OS,1
11486,216563u,Mac OS,1
11487,129972u,Windows OS,1
11488,13937u,Windows OS,1
11489,143495u,Windows OS,1
11490,95439u,Windows OS,1
11491,228298u,Windows OS,1
11492,163316u,Windows OS,1
11493,89615u,Windows OS,1
11494,54725u,Mac OS,1
11495,137552u,Windows OS,1
11496,195802u,Windows OS,1
11497,218509u,Windows OS,1
11498,127563u,Mac OS,1
11499,186342u,Windows OS,1
11500,113727u,Mac OS,1
11501,170111u,Windows OS,1
11502,205114u,Mac OS,1
11503,169101u,Windows OS,1
11504,121269u,Mac OS,1
11505,254832u,Mac OS,1
11506,263659u,Windows OS,1
11507,39054u,Windows OS,1
11508,43051u,Windows OS,1
11509,148285u,Windows OS,1
11510,268701u,Mac OS,1
11511,112710u,Windows OS,1
11512,289258u,Mac OS,1
11513,248847u,Windows OS,1
11514,123274u,Windows OS,1
11515,35338u,Windows OS,1
11516,277238u,Windows OS,1
11517,142403u,Mac OS,1
11518,31325u,Mac OS,1
11519,14946u,Mac OS,1
11520,111196u,Windows OS,1
11521,28354u,Windows OS,1
11522,48779u,Windows OS,1
11523,181160u,Mac OS,1
11524,217634u,Mac OS,1
11525,240949u,Windows OS,1
11526,88987u,Windows OS,1
11527,170172u,Mac OS,1
11528,102219u,Windows OS,1
11529,155234u,Windows OS,1
11530,187562u,Windows OS,1
11531,128251u,Windows OS,1
11532,15388u,Windows OS,1
11533,259317u,Windows OS,1
11534,204168u,Mac OS,1
11535,71527u,Windows OS,1
11536,73482u,Mac OS,1
11537,101921u,Windows OS,1
11538,299966u,Windows OS,1
11539,16599u,Windows OS,1
11540,284091u,Windows OS,1
11541,180534u,Mac OS,1
11542,30907u,Windows OS,1
11543,198279u,Windows OS,1
11544,265711u,Mac OS,1
11545,154887u,Windows OS,1
11546,180013u,Windows OS,1
11547,141723u,Mac OS,1
11548,229616u,Windows OS,1
11549,19097u,Windows OS,1
11550,249333u,Windows OS,1
11551,253737u,Windows OS,1
11552,53973u,Windows OS,1
11553,89311u,Windows OS,1
11554,250618u,Windows OS,1
11555,213323u,Windows OS,1
11556,107537u,Windows OS,1
11557,268564u,Mac OS,1
11558,205473u,Windows OS,1
11559,141297u,Windows OS,1
11560,52750u,Windows OS,1
11561,157253u,Windows OS,1
11562,36986u,Windows OS,1
11563,99726u,Windows OS,1
11564,79184u,Windows OS,1
11565,153877u,Windows OS,1
11566,252330u,Windows OS,1
11567,186493u,Windows OS,1
11568,152583u,Windows OS,1
11569,15555u,Windows OS,1
11570,184051u,Mac OS,1
11571,79949u,Mac OS,1
11572,23893u,Windows OS,1
11573,228448u,Windows OS,1
11574,173772u,Mac OS,1
11575,99395u,Mac OS,1
11576,204085u,Windows OS,1
11577,193564u,Mac OS,1
11578,230984u,Mac OS,1
11579,6686u,Windows OS,1
11580,172132u,Windows OS,1
11581,1172u,Windows OS,1
11582,86971u,Windows OS,1
11583,239878u,Windows OS,1
11584,98287u,Windows OS,1
11585,126990u,Mac OS,1
11586,85392u,Windows OS,1
11587,61992u,Mac OS,1
11588,274764u,Windows OS,1
11589,127211u,Windows OS,1
11590,186927u,Windows OS,1
11591,183194u,Mac OS,1
11592,42427u,Mac OS,1
11593,298203u,Windows OS,1
11594,225901u,Windows OS,1
11595,276091u,Windows OS,1
11596,50869u,Windows OS,1
11597,14656u,Windows OS,1
11598,146745u,Windows OS,1
11599,114143u,Mac OS,1
11600,254497u,Mac OS,1
11601,174244u,Windows OS,1
11602,283559u,Windows OS,1
11603,114335u,Windows OS,1
11604,71722u,Windows OS,1
11605,37013u,Windows OS,1
11606,81180u,Windows OS,1
11607,238633u,Mac OS,1
11608,218768u,Windows OS,1
11609,45112u,Mac OS,1
11610,82767u,Mac OS,1
11611,139046u,Mac OS,1
11612,219961u,Windows OS,1
11613,106533u,Windows OS,1
11614,241755u,Mac OS,1
11615,165616u,Windows OS,1
11616,180938u,Windows OS,1
11617,95435u,Windows OS,1
11618,36880u,Mac OS,1
11619,249113u,Windows OS,1
11620,142176u,Mac OS,1
11621,275844u,Windows OS,1
11622,276574u,Windows OS,1
11623,40572u,Mac OS,1
11624,42041u,Mac OS,1
11625,133260u,Mac OS,1
11626,256624u,Windows OS,1
11627,91913u,Windows OS,1
11628,60880u,Windows OS,1
11629,32317u,Mac OS,1
11630,275746u,Mac OS,1
11631,154123u,Windows OS,1
11632,274755u,Mac OS,1
11633,248361u,Windows OS,1
11634,7794u,Windows OS,1
11635,123870u,Mac OS,1
11636,43498u,Windows OS,1
11637,68481u,Mac OS,1
11638,178415u,Windows OS,1
11639,34902u,Windows OS,1
11640,251614u,Windows OS,1
11641,58162u,Mac OS,1
11642,281718u,Windows OS,1
11643,43466u,Windows OS,1
11644,141841u,Windows OS,1
11645,129588u,Windows OS,1
11646,2922u,Windows OS,1
11647,92247u,Mac OS,1
11648,245371u,Windows OS,1
11649,54075u,Windows OS,1
11650,291190u,Mac OS,1
11651,262427u,Windows OS,1
11652,278530u,Windows OS,1
11653,131156u,Windows OS,1
11654,142291u,Mac OS,1
11655,68099u,Windows OS,1
11656,196396u,Mac OS,1
11657,9698u,Windows OS,1
11658,83652u,Windows OS,1
11659,59728u,Windows OS,1
11660,206429u,Mac OS,1
11661,15828u,Windows OS,1
11662,118202u,Windows OS,1
11663,52551u,Windows OS,1
11664,52551u,Mac OS,1
11665,166238u,Windows OS,1
11666,133964u,Windows OS,1
11667,36810u,Windows OS,1
11668,236507u,Windows OS,1
11669,207821u,Mac OS,1
11670,121242u,Windows OS,1
11671,146335u,Windows OS,1
11672,46636u,Mac OS,1
11673,75971u,Mac OS,1
11674,247681u,Mac OS,1
11675,213765u,Windows OS,1
11676,264717u,Windows OS,1
11677,299662u,Windows OS,1
11678,287168u,Windows OS,1
11679,214596u,Mac OS,1
11680,265767u,Mac OS,1
11681,63927u,Windows OS,1
11682,231538u,Mac OS,1
11683,258041u,Windows OS,1
11684,246735u,Windows OS,1
11685,194211u,Mac OS,1
11686,202175u,Mac OS,1
11687,71457u,Mac OS,1
11688,112774u,Mac OS,1
11689,72076u,Windows OS,1
11690,16155u,Windows OS,1
11691,188846u,Windows OS,1
11692,53409u,Windows OS,1
11693,291880u,Windows OS,1
11694,87377u,Mac OS,1
11695,103292u,Windows OS,1
11696,68563u,Mac OS,1
11697,206022u,Windows OS,1
11698,21176u,Windows OS,1
11699,103321u,Windows OS,1
11700,109871u,Windows OS,1
11701,226129u,Windows OS,1
11702,225586u,Mac OS,1
11703,270482u,Windows OS,1
11704,171473u,Windows OS,1
11705,172932u,Windows OS,1
11706,135861u,Windows OS,1
11707,136465u,Windows OS,1
11708,144239u,Mac OS,1
11709,287238u,Mac OS,1
11710,163166u,Windows OS,1
11711,212286u,Mac OS,1
11712,25703u,Mac OS,1
11713,252467u,Mac OS,1
11714,255043u,Mac OS,1
11715,58363u,Mac OS,1
11716,61965u,Mac OS,1
11717,257977u,Windows OS,1
11718,167119u,Mac OS,1
11719,20045u,Mac OS,1
11720,250423u,Mac OS,1
11721,21089u,Windows OS,1
11722,146624u,Mac OS,1
11723,14009u,Windows OS,1
11724,190183u,Windows OS,1
11725,162802u,Windows OS,1
11726,167647u,Windows OS,1
11727,288406u,Windows OS,1
11728,37590u,Mac OS,1
11729,220181u,Windows OS,1
11730,97085u,Windows OS,1
11731,98365u,Windows OS,1
11732,216166u,Windows OS,1
11733,87690u,Windows OS,1
11734,124450u,Windows OS,1
11735,29472u,Mac OS,1
11736,139321u,Windows OS,1
11737,120293u,Mac OS,1
11738,123500u,Windows OS,1
11739,229781u,Windows OS,1
11740,99242u,Mac OS,1
11741,160610u,Mac OS,1
11742,173263u,Mac OS,1
11743,3699u,Mac OS,1
11744,153990u,Mac OS,1
11745,45080u,Mac OS,1
11746,94399u,Windows OS,1
11747,280126u,Windows OS,1
11748,160220u,Windows OS,1
11749,145833u,Mac OS,1
11750,220874u,Mac OS,1
11751,201745u,Windows OS,1
11752,183099u,Mac OS,1
11753,183159u,Mac OS,1
11754,208572u,Windows OS,1
11755,210194u,Mac OS,1
11756,71666u,Windows OS,1
11757,290087u,Mac OS,1
11758,255089u,Windows OS,1
11759,66877u,Windows OS,1
11760,192513u,Windows OS,1
11761,98933u,Windows OS,1
11762,34772u,Windows OS,1
11763,172589u,Windows OS,1
11764,152077u,Windows OS,1
11765,56483u,Mac OS,1
11766,149430u,Windows OS,1
11767,213880u,Windows OS,1
11768,16567u,Windows OS,1
11769,27135u,Windows OS,1
11770,83340u,Mac OS,1
11771,97193u,Windows OS,1
11772,52927u,Windows OS,1
11773,127270u,Windows OS,1
11774,228408u,Mac OS,1
11775,142866u,Windows OS,1
11776,27631u,Windows OS,1
11777,237767u,Mac OS,1
11778,150892u,Windows OS,1
11779,183551u,Windows OS,1
11780,217801u,Windows OS,1
11781,73717u,Mac OS,1
11782,2022u,Mac OS,1
11783,130721u,Windows OS,1
11784,11505u,Mac OS,1
11785,250562u,Mac OS,1
11786,46866u,Mac OS,1
11787,224781u,Mac OS,1
11788,145966u,Mac OS,1
11789,96128u,Mac OS,1
11790,73965u,Mac OS,1
11791,180382u,Windows OS,1
11792,9338u,Windows OS,1
11793,24624u,Windows OS,1
11794,151386u,Windows OS,1
11795,96296u,Mac OS,1
11796,299604u,Windows OS,1
11797,104131u,Windows OS,1
11798,6311u,Windows OS,1
11799,85024u,Mac OS,1
11800,279595u,Windows OS,1
11801,91668u,Windows OS,1
11802,271864u,Mac OS,1
11803,64060u,Mac OS,1
11804,279729u,Mac OS,1
11805,46322u,Mac OS,1
11806,289230u,Mac OS,1
11807,73476u,Windows OS,1
11808,207337u,Windows OS,1
11809,4843u,Mac OS,1
11810,76737u,Windows OS,1
11811,37377u,Mac OS,1
11812,290571u,Windows OS,1
11813,115143u,Mac OS,1
11814,274084u,Mac OS,1
11815,253671u,Mac OS,1
11816,247440u,Windows OS,1
11817,20832u,Mac OS,1
11818,188172u,Windows OS,1
11819,270343u,Windows OS,1
11820,96025u,Windows OS,1
11821,148866u,Mac OS,1
11822,216641u,Mac OS,1
11823,140777u,Mac OS,1
11824,252146u,Windows OS,1
11825,213112u,Windows OS,1
11826,25905u,Mac OS,1
11827,206249u,Mac OS,1
11828,60123u,Windows OS,1
11829,107730u,Mac OS,1
11830,136792u,Mac OS,1
11831,254633u,Mac OS,1
11832,180734u,Windows OS,1
11833,292681u,Windows OS,1
11834,136495u,Mac OS,1
11835,258991u,Windows OS,1
11836,140338u,Windows OS,1
11837,194783u,Windows OS,1
11838,236748u,Windows OS,1
11839,232622u,Windows OS,1
11840,175109u,Mac OS,1
11841,174981u,Mac OS,1
11842,17701u,Windows OS,1
11843,259399u,Windows OS,1
11844,23066u,Mac OS,1
11845,257192u,Windows OS,1
11846,81660u,Mac OS,1
11847,129284u,Mac OS,1
11848,160747u,Mac OS,1
11849,6982u,Windows OS,1
11850,38699u,Windows OS,1
11851,284196u,Windows OS,1
11852,190042u,Windows OS,1
11853,286190u,Windows OS,1
11854,242628u,Windows OS,1
11855,231941u,Windows OS,1
11856,227558u,Windows OS,1
11857,88446u,Windows OS,1
11858,282069u,Mac OS,1
11859,99580u,Mac OS,1
11860,174709u,Mac OS,1
11861,59402u,Mac OS,1
11862,231312u,Mac OS,1
11863,291013u,Mac OS,1
11864,167586u,Mac OS,1
11865,159430u,Windows OS,1
11866,239886u,Mac OS,1
11867,142800u,Mac OS,1
11868,67881u,Mac OS,1
11869,123786u,Windows OS,1
11870,247146u,Windows OS,1
11871,154655u,Windows OS,1
11872,244598u,Windows OS,1
11873,194220u,Windows OS,1
11874,116256u,Mac OS,1
11875,1247u,Windows OS,1
11876,114365u,Windows OS,1
11877,184650u,Mac OS,1
11878,260355u,Windows OS,1
11879,242837u,Mac OS,1
11880,196843u,Mac OS,1
11881,296519u,Windows OS,1
11882,278373u,Windows OS,1
11883,295525u,Mac OS,1
11884,31170u,Windows OS,1
11885,27667u,Mac OS,1
11886,283038u,Windows OS,1
11887,143639u,Windows OS,1
11888,261069u,Windows OS,1
11889,75402u,Mac OS,1
11890,206477u,Windows OS,1
11891,273155u,Windows OS,1
11892,169480u,Windows OS,1
11893,92941u,Windows OS,1
11894,168040u,Windows OS,1
11895,71029u,Windows OS,1
11896,257522u,Windows OS,1
11897,122423u,Mac OS,1
11898,183244u,Windows OS,1
11899,63957u,Mac OS,1
11900,139420u,Windows OS,1
11901,216983u,Windows OS,1
11902,175784u,Windows OS,1
11903,132068u,Mac OS,1
11904,200523u,Windows OS,1
11905,223039u,Windows OS,1
11906,295739u,Windows OS,1
11907,100084u,Windows OS,1
11908,211947u,Windows OS,1
11909,136019u,Mac OS,1
11910,61673u,Mac OS,1
11911,243245u,Mac OS,1
11912,124615u,Mac OS,1
11913,107778u,Windows OS,1
11914,163079u,Mac OS,1
11915,107329u,Windows OS,1
11916,53737u,Windows OS,1
11917,172049u,Mac OS,1
11918,85542u,Mac OS,1
11919,192279u,Windows OS,1
11920,114833u,Windows OS,1
11921,221246u,Windows OS,1
11922,272207u,Mac OS,1
11923,19892u,Mac OS,1
11924,73154u,Mac OS,1
11925,184714u,Windows OS,1
11926,259659u,Mac OS,1
11927,282782u,Windows OS,1
11928,288984u,Windows OS,1
11929,183418u,Windows OS,1
11930,110359u,Windows OS,1
11931,203458u,Mac OS,1
11932,64075u,Windows OS,1
11933,96349u,Mac OS,1
11934,172535u,Windows OS,1
11935,65108u,Windows OS,1
11936,803u,Mac OS,1
11937,8275u,Windows OS,1
11938,15186u,Windows OS,1
11939,251572u,Windows OS,1
11940,293008u,Windows OS,1
11941,126524u,Mac OS,1
11942,256809u,Mac OS,1
11943,66996u,Windows OS,1
11944,47785u,Mac OS,1
11945,81917u,Windows OS,1
11946,149280u,Windows OS,1
11947,86498u,Mac OS,1
11948,8074u,Windows OS,1
11949,83781u,Mac OS,1
11950,144538u,Mac OS,1
11951,251009u,Mac OS,1
11952,180954u,Windows OS,1
11953,26298u,Windows OS,1
11954,55781u,Mac OS,1
11955,160458u,Windows OS,1
11956,152184u,Windows OS,1
11957,191985u,Mac OS,1
11958,35999u,Windows OS,1
11959,249039u,Windows OS,1
11960,118203u,Windows OS,1
11961,182302u,Windows OS,1
11962,178108u,Windows OS,1
11963,91930u,Mac OS,1
11964,18561u,Mac OS,1
11965,198310u,Mac OS,1
11966,194636u,Windows OS,1
11967,234098u,Mac OS,1
11968,35581u,Mac OS,1
11969,275206u,Windows OS,1
11970,95977u,Windows OS,1
11971,121155u,Mac OS,1
11972,136245u,Windows OS,1
11973,31742u,Windows OS,1
11974,108184u,Windows OS,1
11975,161039u,Mac OS,1
11976,13647u,Windows OS,1
11977,298617u,Mac OS,1
11978,226354u,Mac OS,1
11979,90283u,Mac OS,1
11980,237978u,Windows OS,1
11981,44489u,Mac OS,1
11982,219618u,Mac OS,1
11983,90268u,Mac OS,1
11984,214767u,Windows OS,1
11985,185018u,Windows OS,1
11986,240263u,Windows OS,1
11987,87828u,Windows OS,1
11988,259933u,Mac OS,1
11989,289296u,Mac OS,1
11990,274331u,Windows OS,1
11991,160753u,Windows OS,1
11992,268229u,Mac OS,1
11993,35604u,Mac OS,1
11994,60439u,Mac OS,1
11995,256244u,Windows OS,1
11996,211016u,Mac OS,1
11997,269982u,Windows OS,1
11998,257749u,Windows OS,1
11999,204706u,Windows OS,1
12000,65189u,Mac OS,1
12001,125938u,Mac OS,1
12002,61158u,Mac OS,1
12003,10366u,Mac OS,1
12004,273326u,Windows OS,1
12005,148756u,Mac OS,1
12006,27140u,Windows OS,1
12007,159275u,Mac OS,1
12008,276996u,Windows OS,1
12009,73534u,Mac OS,1
12010,219399u,Windows OS,1
12011,143472u,Windows OS,1
12012,241044u,Mac OS,1
12013,6142u,Windows OS,1
12014,188332u,Windows OS,1
12015,75081u,Windows OS,1
12016,65887u,Mac OS,1
12017,271530u,Windows OS,1
12018,262123u,Mac OS,1
12019,64469u,Windows OS,1
12020,202318u,Mac OS,1
12021,108766u,Mac OS,1
12022,62846u,Windows OS,1
12023,121121u,Mac OS,1
12024,297320u,Windows OS,1
12025,250184u,Windows OS,1
12026,54652u,Mac OS,1
12027,96832u,Windows OS,1
12028,68756u,Windows OS,1
12029,26214u,Windows OS,1
12030,173533u,Mac OS,1
12031,50721u,Windows OS,1
12032,167719u,Mac OS,1
12033,298858u,Mac OS,1
12034,121679u,Mac OS,1
12035,211717u,Windows OS,1
12036,190038u,Windows OS,1
12037,182164u,Windows OS,1
12038,265655u,Windows OS,1
12039,172003u,Windows OS,1
12040,11488u,Windows OS,1
12041,229583u,Windows OS,1
12042,16510u,Windows OS,1
12043,109876u,Windows OS,1
12044,80484u,Mac OS,1
12045,123643u,Mac OS,1
12046,168436u,Windows OS,1
12047,257361u,Mac OS,1
12048,139559u,Windows OS,1
12049,58290u,Windows OS,1
12050,215412u,Windows OS,1
12051,15712u,Windows OS,1
12052,47885u,Windows OS,1
12053,47885u,Mac OS,1
12054,44250u,Windows OS,1
12055,44394u,Windows OS,1
12056,296086u,Mac OS,1
12057,78450u,Windows OS,1
12058,274748u,Windows OS,1
12059,287581u,Mac OS,1
12060,227553u,Mac OS,1
12061,162828u,Windows OS,1
12062,288428u,Mac OS,1
12063,219549u,Windows OS,1
12064,152471u,Mac OS,1
12065,264133u,Windows OS,1
12066,137587u,Mac OS,1
12067,211385u,Mac OS,1
12068,192101u,Windows OS,1
12069,239305u,Windows OS,1
12070,149691u,Mac OS,1
12071,43028u,Windows OS,1
12072,148388u,Mac OS,1
12073,21611u,Mac OS,1
12074,23703u,Windows OS,1
12075,94881u,Windows OS,1
12076,139209u,Windows OS,1
12077,92872u,Windows OS,1
12078,264772u,Windows OS,1
12079,249924u,Mac OS,1
12080,94970u,Mac OS,1
12081,160796u,Mac OS,1
12082,176134u,Windows OS,1
12083,161627u,Windows OS,1
12084,135226u,Mac OS,1
12085,81821u,Mac OS,1
12086,332u,Mac OS,1
12087,32377u,Mac OS,1
12088,278366u,Windows OS,1
12089,189194u,Mac OS,1
12090,239341u,Windows OS,1
12091,10686u,Windows OS,1
12092,222006u,Windows OS,1
12093,148477u,Mac OS,1
12094,206400u,Mac OS,1
12095,218455u,Windows OS,1
12096,42854u,Windows OS,1
12097,229623u,Windows OS,1
12098,21036u,Windows OS,1
12099,113408u,Mac OS,1
12100,142853u,Windows OS,1
12101,203014u,Windows OS,1
12102,50111u,Windows OS,1
12103,62418u,Windows OS,1
12104,227727u,Windows OS,1
12105,10349u,Mac OS,1
12106,148573u,Mac OS,1
12107,20598u,Windows OS,1
12108,71644u,Mac OS,1
12109,46836u,Windows OS,1
12110,195591u,Windows OS,1
12111,204924u,Windows OS,1
12112,112946u,Windows OS,1
12113,232771u,Windows OS,1
12114,91883u,Mac OS,1
12115,125626u,Windows OS,1
12116,284653u,Mac OS,1
12117,32331u,Windows OS,1
12118,110091u,Windows OS,1
12119,130613u,Mac OS,1
12120,90610u,Windows OS,1
12121,90610u,Mac OS,1
12122,253915u,Mac OS,1
12123,156910u,Mac OS,1
12124,14387u,Mac OS,1
12125,153905u,Mac OS,1
12126,183040u,Mac OS,1
12127,299708u,Mac OS,1
12128,121152u,Windows OS,1
12129,283727u,Mac OS,1
12130,287600u,Mac OS,1
12131,93315u,Windows OS,1
12132,181664u,Windows OS,1
12133,196242u,Mac OS,1
12134,28037u,Windows OS,1
12135,205886u,Windows OS,1
12136,53694u,Windows OS,1
12137,65647u,Windows OS,1
12138,257477u,Windows OS,1
12139,277841u,Mac OS,1
12140,146860u,Windows OS,1
12141,145251u,Windows OS,1
12142,208682u,Mac OS,1
12143,15367u,Mac OS,1
12144,72382u,Windows OS,1
12145,128354u,Windows OS,1
12146,267803u,Windows OS,1
12147,8001u,Windows OS,1
12148,40005u,Mac OS,1
12149,295675u,Windows OS,1
12150,289397u,Windows OS,1
12151,197804u,Mac OS,1
12152,85443u,Windows OS,1
12153,133350u,Windows OS,1
12154,33837u,Windows OS,1
12155,62016u,Windows OS,1
12156,214853u,Mac OS,1
12157,68313u,Mac OS,1
12158,32845u,Windows OS,1
12159,176821u,Windows OS,1
12160,222288u,Mac OS,1
12161,146427u,Windows OS,1
12162,2352u,Windows OS,1
12163,223070u,Windows OS,1
12164,27573u,Mac OS,1
12165,123550u,Mac OS,1
12166,151209u,Windows OS,1
12167,201206u,Windows OS,1
12168,289252u,Windows OS,1
12169,237248u,Windows OS,1
12170,134062u,Mac OS,1
12171,128010u,Mac OS,1
12172,124955u,Mac OS,1
12173,238420u,Mac OS,1
12174,12027u,Windows OS,1
12175,96647u,Mac OS,1
12176,11043u,Windows OS,1
12177,265626u,Windows OS,1
12178,261941u,Mac OS,1
12179,71072u,Windows OS,1
12180,136332u,Mac OS,1
12181,2247u,Windows OS,1
12182,35435u,Mac OS,1
12183,235319u,Mac OS,1
12184,48444u,Windows OS,1
12185,224606u,Mac OS,1
12186,120518u,Mac OS,1
12187,143136u,Windows OS,1
12188,105443u,Windows OS,1
12189,169571u,Mac OS,1
12190,137740u,Mac OS,1
12191,247750u,Mac OS,1
12192,116674u,Windows OS,1
12193,218102u,Mac OS,1
12194,234007u,Mac OS,1
12195,243126u,Mac OS,1
12196,217296u,Mac OS,1
12197,37709u,Windows OS,1
12198,43037u,Mac OS,1
12199,133355u,Windows OS,1
12200,297747u,Mac OS,1
12201,25643u,Windows OS,1
12202,27463u,Mac OS,1
12203,13169u,Windows OS,1
12204,52007u,Mac OS,1
12205,138408u,Mac OS,1
12206,89327u,Windows OS,1
12207,149669u,Windows OS,1
12208,94491u,Mac OS,1
12209,170802u,Mac OS,1
12210,111843u,Mac OS,1
12211,179388u,Windows OS,1
12212,275103u,Mac OS,1
12213,233434u,Mac OS,1
12214,27609u,Windows OS,1
12215,47905u,Mac OS,1
12216,67555u,Mac OS,1
12217,38725u,Windows OS,1
12218,274046u,Windows OS,1
12219,70272u,Mac OS,1
12220,32303u,Windows OS,1
12221,8715u,Mac OS,1
12222,191019u,Mac OS,1
12223,183441u,Windows OS,1
12224,241246u,Windows OS,1
12225,180478u,Mac OS,1
12226,117964u,Windows OS,1
12227,26290u,Windows OS,1
12228,212507u,Mac OS,1
12229,1075u,Mac OS,1
12230,234457u,Mac OS,1
12231,81577u,Windows OS,1
12232,227856u,Windows OS,1
12233,152170u,Windows OS,1
12234,258815u,Windows OS,1
12235,238204u,Mac OS,1
12236,176218u,Mac OS,1
12237,270907u,Windows OS,1
12238,46400u,Windows OS,1
12239,99160u,Windows OS,1
12240,154788u,Windows OS,1
12241,262563u,Windows OS,1
12242,240548u,Windows OS,1
12243,104607u,Windows OS,1
12244,41873u,Windows OS,1
12245,14676u,Windows OS,1
12246,73866u,Mac OS,1
12247,188120u,Mac OS,1
12248,179068u,Mac OS,1
12249,145020u,Mac OS,1
12250,253636u,Windows OS,1
12251,45010u,Windows OS,1
12252,249365u,Windows OS,1
12253,95877u,Mac OS,1
12254,90481u,Windows OS,1
12255,24930u,Mac OS,1
12256,230160u,Windows OS,1
12257,110531u,Windows OS,1
12258,276082u,Windows OS,1
12259,199221u,Mac OS,1
12260,150385u,Mac OS,1
12261,94452u,Mac OS,1
12262,109202u,Windows OS,1
12263,123412u,Mac OS,1
12264,120672u,Windows OS,1
12265,217582u,Windows OS,1
12266,199890u,Windows OS,1
12267,76246u,Windows OS,1
12268,276923u,Mac OS,1
12269,120036u,Mac OS,1
12270,240222u,Windows OS,1
12271,182134u,Mac OS,1
12272,220800u,Windows OS,1
12273,294490u,Windows OS,1
12274,47374u,Windows OS,1
12275,112062u,Mac OS,1
12276,35386u,Mac OS,1
12277,187330u,Windows OS,1
12278,52052u,Windows OS,1
12279,269878u,Windows OS,1
12280,194605u,Windows OS,1
12281,110682u,Mac OS,1
12282,182411u,Windows OS,1
12283,40808u,Windows OS,1
12284,118952u,Mac OS,1
12285,106861u,Mac OS,1
12286,195257u,Mac OS,1
12287,163011u,Windows OS,1
12288,282813u,Mac OS,1
12289,277058u,Windows OS,1
12290,225108u,Windows OS,1
12291,28571u,Mac OS,1
12292,97524u,Windows OS,1
12293,292675u,Mac OS,1
12294,231347u,Windows OS,1
12295,71093u,Mac OS,1
12296,156901u,Windows OS,1
12297,183221u,Windows OS,1
12298,56307u,Mac OS,1
12299,145519u,Mac OS,1
12300,83402u,Mac OS,1
12301,176624u,Windows OS,1
12302,64861u,Mac OS,1
12303,86901u,Mac OS,1
12304,98004u,Mac OS,1
12305,291427u,Windows OS,1
12306,144490u,Windows OS,1
12307,63474u,Windows OS,1
12308,98160u,Windows OS,1
12309,143294u,Windows OS,1
12310,258259u,Windows OS,1
12311,12925u,Mac OS,1
