,identificador,Sistema operativo,Usuarios
356,281901u,Windows OS,1
357,288193u,Windows OS,1
358,141706u,Mac OS,1
359,22557u,Windows OS,1
360,21583u,Windows OS,1
361,203893u,Windows OS,1
362,20370u,Mac OS,1
363,244394u,Windows OS,1
364,232626u,Windows OS,1
365,210518u,Windows OS,1
366,186119u,Mac OS,1
367,224583u,Windows OS,1
368,157519u,Mac OS,1
369,144634u,Windows OS,1
370,270712u,Windows OS,1
371,233926u,Mac OS,1
372,79034u,Mac OS,1
373,222153u,Windows OS,1
374,78651u,Windows OS,1
375,70837u,Mac OS,1
376,96428u,Windows OS,1
377,74563u,Windows OS,1
378,59654u,Mac OS,1
379,215767u,Windows OS,1
380,120774u,Mac OS,1
381,164366u,Mac OS,1
382,95900u,Windows OS,1
383,233232u,Windows OS,1
384,3155u,Mac OS,1
385,288701u,Mac OS,1
386,60352u,Windows OS,1
387,55453u,Windows OS,1
388,179107u,Mac OS,1
389,120882u,Mac OS,1
390,153831u,Mac OS,1
391,176774u,Mac OS,1
392,64477u,Windows OS,1
393,262118u,Windows OS,1
394,156978u,Windows OS,1
395,55442u,Windows OS,1
396,206017u,Mac OS,1
397,170196u,Mac OS,1
398,221234u,Mac OS,1
399,158051u,Windows OS,1
400,90028u,Windows OS,1
401,94091u,Mac OS,1
402,211780u,Windows OS,1
403,261576u,Windows OS,1
404,8573u,Windows OS,1
405,283806u,Windows OS,1
406,29649u,Windows OS,1
407,168353u,Windows OS,1
408,149480u,Windows OS,1
409,65000u,Windows OS,1
410,67823u,Windows OS,1
411,176869u,Windows OS,1
412,60816u,Windows OS,1
413,175509u,Windows OS,1
414,126229u,Windows OS,1
415,14253u,Windows OS,1
416,76968u,Windows OS,1
417,24719u,Mac OS,1
418,106156u,Windows OS,1
419,295126u,Windows OS,1
420,249775u,Windows OS,1
421,249775u,Mac OS,1
422,151043u,Windows OS,1
423,22935u,Mac OS,1
424,81973u,Windows OS,1
425,29305u,Windows OS,1
426,5614u,Mac OS,1
427,222580u,Mac OS,1
428,8062u,Windows OS,1
429,246757u,Windows OS,1
430,118271u,Windows OS,1
431,95753u,Mac OS,1
432,28744u,Mac OS,1
433,149312u,Windows OS,1
434,108777u,Windows OS,1
435,33617u,Mac OS,1
436,95780u,Windows OS,1
437,136784u,Windows OS,1
438,176738u,Windows OS,1
439,968u,Windows OS,1
440,31288u,Mac OS,1
441,8026u,Windows OS,1
442,202407u,Mac OS,1
443,246258u,Windows OS,1
444,222681u,Windows OS,1
445,180758u,Windows OS,1
446,69140u,Windows OS,1
447,143181u,Mac OS,1
448,118940u,Mac OS,1
449,272140u,Mac OS,1
450,242219u,Windows OS,1
451,261153u,Mac OS,1
452,102586u,Mac OS,1
453,282847u,Mac OS,1
454,10589u,Mac OS,1
455,211893u,Mac OS,1
456,218669u,Windows OS,1
457,153135u,Windows OS,1
458,159508u,Windows OS,1
459,6233u,Mac OS,1
460,249584u,Windows OS,1
461,66247u,Windows OS,1
462,236060u,Mac OS,1
463,250227u,Windows OS,1
464,293406u,Mac OS,1
465,194748u,Windows OS,1
466,49491u,Windows OS,1
467,12611u,Mac OS,1
468,293312u,Mac OS,1
469,97996u,Windows OS,1
470,262154u,Windows OS,1
471,84161u,Windows OS,1
472,106474u,Windows OS,1
473,184179u,Windows OS,1
474,28113u,Windows OS,1
475,228003u,Mac OS,1
476,138762u,Windows OS,1
477,29889u,Windows OS,1
478,281867u,Mac OS,1
479,50577u,Mac OS,1
480,298616u,Windows OS,1
481,269259u,Windows OS,1
482,51956u,Windows OS,1
483,46814u,Windows OS,1
484,111542u,Windows OS,1
485,207387u,Windows OS,1
486,222526u,Mac OS,1
487,26229u,Windows OS,1
488,168769u,Windows OS,1
489,58149u,Mac OS,1
490,203074u,Mac OS,1
491,31560u,Windows OS,1
492,147302u,Windows OS,1
493,130797u,Windows OS,1
494,54765u,Windows OS,1
495,24955u,Windows OS,1
496,163171u,Windows OS,1
497,64062u,Windows OS,1
498,54343u,Mac OS,1
499,119450u,Windows OS,1
500,140226u,Windows OS,1
501,266201u,Windows OS,1
502,223616u,Mac OS,1
503,245353u,Windows OS,1
504,122564u,Windows OS,1
505,117888u,Mac OS,1
506,125111u,Windows OS,1
507,123156u,Windows OS,1
508,210245u,Windows OS,1
509,145504u,Mac OS,1
510,160052u,Mac OS,1
511,57393u,Windows OS,1
512,49826u,Windows OS,1
513,152151u,Mac OS,1
514,64574u,Mac OS,1
515,184232u,Windows OS,1
516,94291u,Windows OS,1
517,265977u,Mac OS,1
518,240967u,Windows OS,1
519,256217u,Windows OS,1
520,159363u,Windows OS,1
521,39064u,Windows OS,1
522,38894u,Windows OS,1
523,83304u,Mac OS,1
524,220646u,Windows OS,1
525,211523u,Windows OS,1
526,173080u,Windows OS,1
527,233896u,Mac OS,1
528,32368u,Mac OS,1
529,46706u,Windows OS,1
530,141344u,Mac OS,1
531,182413u,Windows OS,1
532,254534u,Windows OS,1
533,193037u,Windows OS,1
534,68871u,Windows OS,1
535,67774u,Windows OS,1
536,39720u,Windows OS,1
537,21609u,Windows OS,1
538,80981u,Windows OS,1
539,101896u,Windows OS,1
540,116459u,Windows OS,1
541,150623u,Windows OS,1
542,169484u,Windows OS,1
543,23803u,Windows OS,1
544,104419u,Mac OS,1
545,170356u,Mac OS,1
546,104491u,Windows OS,1
547,194672u,Windows OS,1
548,137931u,Mac OS,1
549,11602u,Windows OS,1
550,146573u,Windows OS,1
551,134648u,Windows OS,1
552,172540u,Windows OS,1
553,55200u,Mac OS,1
554,236836u,Windows OS,1
555,231373u,Windows OS,1
556,180285u,Windows OS,1
557,257831u,Windows OS,1
558,82083u,Windows OS,1
559,285992u,Windows OS,1
560,59477u,Windows OS,1
561,146987u,Windows OS,1
562,13782u,Windows OS,1
563,201644u,Mac OS,1
564,52823u,Mac OS,1
565,34494u,Windows OS,1
566,298681u,Mac OS,1
567,132502u,Windows OS,1
568,1058u,Mac OS,1
569,213313u,Windows OS,1
570,296040u,Windows OS,1
571,190100u,Windows OS,1
572,235633u,Mac OS,1
573,177761u,Mac OS,1
574,200206u,Windows OS,1
575,13951u,Mac OS,1
576,249755u,Windows OS,1
577,247730u,Windows OS,1
578,239815u,Mac OS,1
579,107715u,Windows OS,1
580,30723u,Windows OS,1
581,147151u,Windows OS,1
582,7960u,Windows OS,1
583,84057u,Mac OS,1
584,43301u,Mac OS,1
585,13554u,Windows OS,1
586,210836u,Windows OS,1
587,183740u,Windows OS,1
588,95355u,Windows OS,1
589,227510u,Windows OS,1
590,33195u,Windows OS,1
591,283538u,Windows OS,1
592,81198u,Mac OS,1
593,244461u,Windows OS,1
594,144836u,Mac OS,1
595,22715u,Windows OS,1
596,213753u,Windows OS,1
597,126045u,Windows OS,1
598,104493u,Mac OS,1
599,112422u,Windows OS,1
600,192158u,Windows OS,1
601,270623u,Windows OS,1
602,191935u,Windows OS,1
603,194217u,Windows OS,1
604,128155u,Windows OS,1
605,282945u,Windows OS,1
606,116625u,Mac OS,1
607,79789u,Windows OS,1
608,181051u,Mac OS,1
609,26057u,Windows OS,1
610,101448u,Windows OS,1
611,240309u,Windows OS,1
612,296471u,Windows OS,1
613,109776u,Windows OS,1
614,36523u,Windows OS,1
615,273301u,Mac OS,1
616,20353u,Mac OS,1
617,96043u,Windows OS,1
618,12666u,Windows OS,1
619,33207u,Mac OS,1
620,244705u,Windows OS,1
621,220678u,Windows OS,1
622,96207u,Windows OS,1
623,12905u,Windows OS,1
624,119954u,Mac OS,1
625,185856u,Mac OS,1
626,77033u,Windows OS,1
627,143023u,Windows OS,1
628,190533u,Mac OS,1
629,43891u,Mac OS,1
630,88214u,Windows OS,1
631,142701u,Windows OS,1
632,211961u,Windows OS,1
633,48053u,Mac OS,1
634,156249u,Windows OS,1
635,286110u,Mac OS,1
636,128560u,Windows OS,1
637,186421u,Windows OS,1
638,1455u,Windows OS,1
639,115323u,Windows OS,1
640,282280u,Mac OS,1
641,275540u,Windows OS,1
642,66406u,Windows OS,1
643,252471u,Windows OS,1
644,155519u,Windows OS,1
645,217330u,Windows OS,1
646,18980u,Windows OS,1
647,157738u,Windows OS,1
648,173552u,Mac OS,1
649,64886u,Windows OS,1
650,296231u,Windows OS,1
651,245931u,Windows OS,1
652,111230u,Windows OS,1
653,242770u,Windows OS,1
654,130457u,Windows OS,1
655,37547u,Windows OS,1
656,274844u,Mac OS,1
657,187020u,Windows OS,1
